"category","effect","prior_alpha","prior_beta","sample_size_per_day","freq_treat","freq_treat_peek","bayes_treat_0.1","bayes_treat_peek_0.1","bayes_treat_0.01","bayes_treat_peek_0.01","bayes_treat_0.001","bayes_treat_peek_0.001","bayes_treat_0.0001","bayes_treat_peek_0.0001","bayes_treat_0.00001","bayes_treat_peek_0.00001"
"bernoulli",0,"1","1",500,"0%","10%","60%","60%","10%","20%","0%","0%","0%","0%","0%","0%"
"bernoulli",0,"3","100",500,"0%","0%","40%","70%","10%","30%","0%","0%","0%","0%","0%","0%"
"bernoulli",0.001,"1","1",500,"10%","10%","70%","80%","0%","30%","0%","0%","0%","0%","0%","0%"
"bernoulli",0.001,"3","100",500,"10%","10%","40%","60%","10%","10%","10%","10%","0%","0%","0%","0%"
